dokumen,Prediksi,Actual
75,0,0
93,1,1
148,0,1
161,0,0
144,1,1
88,1,0
181,1,0
146,1,1
165,0,0
11,1,1
33,0,0
84,0,0
183,0,0
101,1,1
126,1,1
24,0,0
127,1,1
10,1,1
171,1,1
105,1,1
152,0,0
136,0,1
112,0,1
189,1,0
65,1,1
16,0,0
42,0,0
164,0,0
110,1,1
81,0,0
53,1,0
27,0,0
77,1,1
44,0,0
25,0,0
4,0,1
170,1,1
50,1,1
150,0,1
132,1,1
191,0,1
31,0,0
122,0,1
116,1,1
176,1,1
9,1,0
61,1,0
129,1,1
2,1,1
58,0,0
23,0,0
62,0,0
64,0,0
8,0,0
197,1,1
142,1,1
87,0,0
97,0,0
69,1,1
51,1,1
143,1,1
158,1,0
157,0,0
140,0,1
147,0,1
102,0,0
21,0,0
179,1,1
26,0,0
135,1,1
72,0,0
130,1,1
145,0,1
193,1,1
80,0,0
134,1,1
138,1,1
73,1,0
141,0,1
38,0,0
